[RUN #0 5 100]
616 -801 -251 -465 946
-185 563 -379 604 892
425 103 -354 389 -218
-993 -633 833 430 -258
-300 -180 -53 -637 -239
873 290 539 -80 161
-458 -75 610 127 301
910 698 778 -743 507
1 -730 -751 393 650
-717 -257 -891 -852 453
-929 4 645 -480 -565
302 -495 805 613 910
421 977 507 921 -474
-210 -373 -936 284 432
842 706 970 -768 781
669 -653 -931 -100 -772
684 -634 72 -114 -106
27 -144 -89 810 761
-25 -314 -541 729 689
-984 800 558 -86 242
-34 996 267 382 124
-755 771 -727 -772 -659
1 -352 820 -906 305
-778 701 157 738 -418
-245 -869 -458 -801 -950
-555 -83 78 -583 -249
-905 894 488 -305 -328
-2 -433 -391 -441 820
-799 757 -772 -935 -525
-394 -952 -133 -727 931
-815 -312 -70 117 -510
-762 -448 -280 293 774
200 367 271 -235 451
-791 461 231 228 144
993 729 -841 355 -199
-185 4 -715 617 689
219 960 192 -980 599
708 -211 -345 -185 -71
-635 -754 717 -869 110
560 -289 735 -121 -192
-560 -81 494 416 -844
897 581 353 -851 622
-192 836 251 115 -136
608 653 695 94 167
213 562 -733 291 -208
294 33 285 365 -443
646 119 -734 -263 -719
887 125 764 238 524
-284 842 -388 496 -16
-550 -339 -442 325 100
294 519 903 -439 -69
234 -511 -565 -570 -993
-503 -930 -65 -794 814
-621 -391 -761 993 -591
405 379 -679 -138 -986
633 25 -48 -989 820
777 337 747 -609 -146
647 651 -792 -10 -595
86 -186 242 693 364
-706 607 26 -143 813
-861 -897 -145 505 560
129 791 -445 674 607
-426 19 367 593 -249
483 757 494 562 201
-649 480 -202 753 522
-65 689 -98 289 -859
-809 -909 -979 -938 231
-613 -113 -632 750 288
566 809 -507 682 841
929 -47 700 168 -397
-394 769 -924 824 -726
-272 870 -19 896 923
-407 -913 456 163 238
24 -985 -49 -161 -542
-254 634 98 277 569
-36 641 -477 -79 78
-500 -641 -364 878 488
626 723 184 385 -708
178 -465 659 532 -598
-998 -574 297 -773 -241
-733 964 19 310 186
138 68 358 872 286
-237 -759 897 900 194
-19 888 430 -88 229
61 -55 -543 -935 695
-932 689 775 -559 -704
606 -843 -592 -232 934
-478 -31 -465 -649 348
-207 299 -903 81 -286
741 -725 -402 674 19
-894 -528 -373 970 -801
479 912 -714 -349 -124
-154 -27 535 690 701
-512 623 -733 -69 -66
771 35 -487 -691 831
223 -60 -43 448 290
419 780 404 -441 -6
717 -846 -157 -414 685
-3 -898 -290 -348 -658
-445 -523 115 -6 -137
